Category	category	Item #	SPECIES	SEEDS/OZ	SEEDS/PKT	GERM CODE	packet	1/8 oz	1/4 oz	1/2 oz	ounce	pound	Dormant Bare Roots	Potted 3-Pack	Potted Tray of 32	Potted Tray of 36	Potted Tray of 38	Potted Tray of 50	SPECIES	SUN	SOIL	HT	BLOOM TIME	BLOOM COLOR
Tree/Shrub/Woody Vine	T	DIE04T	Diervilla lonicera (Dwarf Bush Honeysuckle)			"C(90),D"							$12.00						Diervilla lonicera (Dwarf Bush Honeysuckle)	Partial to Shade	Medium-Dry to Dry	3ft	June July August	
Tree/Shrub/Woody Vine	T	DIO02T	Dioscorea villosa (Wild Yam)	"2,300"	15	C(60)	$3.50						$8.00						Dioscorea villosa (Wild Yam)	Partial to Shade	Medium-Wet to Medium	up to 15ft	June July	Green
Forb	F	DOD02F	Dodecatheon amethystinum (Amethyst Shooting Star)	"90,000"	100	"C(60),D,G,M"	$3.50												Dodecatheon amethystinum (Amethyst Shooting Star)	Full to Shade	Medium-Wet to Medium-Dry	12in	April May	Purple
Forb	F	DOD04F	Dodecatheon meadia (Midland Shooting Star)	"90,000"	200	"C(21),D,G"	$3.50						$10.00					$189.00	Dodecatheon meadia (Midland Shooting Star)	Full to Partial	Medium-Wet to Medium-Dry	12in	April May June	Pink
Forb	F	AST34F	Doellingeria umbellata (Flat-topped Aster)	"55,000"	400	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00							$159.00	Doellingeria umbellata (Flat-topped Aster)	Full to Partial	Wet to Medium	5ft	July August September	Cream
Forb	F	POT02F	Drymocallis arguta (Prairie Cinquefoil)	"230,000"	"1,000"	"C(60),D,G"	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00						$169.00	Drymocallis arguta (Prairie Cinquefoil)	Full to Partial	Medium-Dry to Dry	2ft	June July August September	Yellow
Forb	F	ECH02F	Echinacea angustifolia (Narrow-leaved Coneflower)	"6,500"	200	"C(90),M"	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00							Echinacea angustifolia (Narrow-leaved Coneflower)	Full	Medium-Dry to Dry	2ft	June July	Pink
Forb	F	ECH04F	Echinacea pallida (Pale Purple Coneflower)	"4,800"	200	"C(90),M"	$3.50		$4.00	$5.00	$6.00	$90.00	$7.00	$21.00			$169.00	$169.00	Echinacea pallida (Pale Purple Coneflower)	Full to Partial	Medium to Dry	3ft	June July	Pink
Forb	F	ECH06F	Echinacea paradoxa (Bush's Coneflower)	"4,000"	100	C(60)	$3.50	$6.25						$21.00			$169.00		Echinacea paradoxa (Bush's Coneflower)	Full to Partial	Medium to Dry	3ft	June July August	Yellow
Forb	F	ECH08F	Echinacea purpurea (Purple Coneflower)	"6,000"	300	A	$3.50				$4.00	$30.00		$21.00			$169.00	$159.00	Echinacea purpurea (Purple Coneflower)	Full to Partial	Medium-Wet to Medium-Dry	4ft	July August September	Purple
Forb	F	ECH10F	Echinacea tennesseensis (Tennessee Coneflower)	"6,000"	80	C(60)	$3.50						$10.00	$21.00					Echinacea tennesseensis (Tennessee Coneflower)	Full to Partial	Medium-Dry to Dry	2ft	July August September	Purple
Cover Crop	C	ECHCC	Echinochloa crusgalli (Barnyard Grass) - Cover Crop	"8,200"								$4.00							Echinochloa crusgalli (Barnyard Grass) - Cover Crop	Full to Partial	Wet to Medium	4ft		
Forb	F	ECH52F	Echinocystis lobata (Wild Cucumber)	100	5	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00								Echinocystis lobata (Wild Cucumber)	Full to Partial	Wet to Medium	up to 20ft	July August September	White
Forb	F	ECH72F	Echinodorus berteroi (Upright Burhead)	"115,000"	500	C(90)	$3.50			$4.50	$5.00	$75.00							Echinodorus berteroi (Upright Burhead)	Full	Wet to Medium-Wet	2ft	June July August September October	White
Grass/Sedge/Rush	G	ELE02G	Eleocharis acicularis (Spike Rush)	"125,000"	750	"C(60),D"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00						$169.00	Eleocharis acicularis (Spike Rush)	Full	Wet to Medium-Wet	8in	June July August September	
Grass/Sedge/Rush	G	ELE01G	Eleocharis erythropoda (Bald Spike Rush)	"78,000"	500	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00							$169.00	Eleocharis erythropoda (Bald Spike Rush)	Full	Wet to Medium	3ft	May June July August	
Grass/Sedge/Rush	G	ELE03G	Eleocharis obtusa (Blunt Spike Rush)	"130,000"	750	"C(60),D"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00							Eleocharis obtusa (Blunt Spike Rush)	Full	Wet to Medium-Wet	12in	June July August September October	
Grass/Sedge/Rush	G	ELE04G	Eleocharis palustris (Great Spike Rush)	"72,000"	500	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00							$169.00	Eleocharis palustris (Great Spike Rush)	Full	Wet to Medium-Wet	12in	May June July August	
Grass/Sedge/Rush	G	ELY02G	Elymus canadensis (Canada Wild Rye)	"5,200"	400	A	$3.50				$4.00	$20.00						$159.00	Elymus canadensis (Canada Wild Rye)	Full to Partial	Medium-Wet to Dry	5ft	July August September October	
Grass/Sedge/Rush	G	HYS02G	Elymus hystrix (Bottlebrush Grass)	"3,500"	150	A	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00		$18.00			$169.00	$159.00	Elymus hystrix (Bottlebrush Grass)	Partial to Shade	Medium to Medium-Dry	3ft	June July August	
Grass/Sedge/Rush	G	ELY04G	Elymus riparius (Riverbank Wild Rye)	"4,000"	200	A	$3.50			$4.50	$5.00	$75.00							Elymus riparius (Riverbank Wild Rye)	Partial to Shade	Medium-Wet to Medium	4ft	June July August	
Grass/Sedge/Rush	G	AGR05G	Elymus trachycaulus (Slender Wheat Grass)	"6,900"	500	A	$3.50				$4.00	$18.00							Elymus trachycaulus (Slender Wheat Grass)	Full to Partial	Medium-Wet to Dry	2ft	July August	
Grass/Sedge/Rush	G	ELY06G	Elymus villosus (Silky Wild Rye)	"6,000"	200	A	$3.50	$4.00	$4.50	$5.20	$8.00							$159.00	Elymus villosus (Silky Wild Rye)	Partial to Shade	Medium-Wet to Medium-Dry	3ft	June July August	
Grass/Sedge/Rush	G	ELY08G	Elymus virginicus (Virginia Wild Rye)	"3,500"	400	A	$3.50				$4.00	$12.00						$159.00	Elymus virginicus (Virginia Wild Rye)	Full to Shade	Wet to Medium	4ft	July August	
Forb	F	EPI03F	Epilobium coloratum (Cinnamon Willow Herb)	"300,000"	"1,000"	"C(60),D"	$3.50	$10.00											Epilobium coloratum (Cinnamon Willow Herb)	Full	Wet to Medium	3ft	July August September	Pink
Forb	F	EPI04F	Epilobium glandulosum (Northern Willow Herb)	"375,000"	500	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00								Epilobium glandulosum (Northern Willow Herb)	Full to Partial	Wet to Medium	2ft	July August September	Pink
Grass/Sedge/Rush	G	ERA02G	Eragrostis spectabilis (Purple Love Grass)	"280,000"	500	"A,D"	$3.50	$7.50	$12.00	$19.50	$30.00	$450.00		$18.00			$169.00	$159.00	Eragrostis spectabilis (Purple Love Grass)	Full to Partial	Dry	2ft	July August	
Forb	F	ERI06F	Erigeron pulchellus (Robin's Plantain)	"315,000"	300	C(60)	$3.50												Erigeron pulchellus (Robin's Plantain)	Full to Partial	Medium-Dry to Dry	12in	May June	White
Grass/Sedge/Rush	G	ERI02G	Eriophorum angustifolium (Narrow-leaved Cotton Grass)	"50,000"	250	?	$3.50												Eriophorum angustifolium (Narrow-leaved Cotton Grass)	Full to Partial	Wet to Medium-Wet	3ft	June July August	
Forb	F	ERY02F	Eryngium yuccifolium (Rattlesnake Master)	"7,500"	250	C(60)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00	$8.00	$21.00			$169.00	$169.00	Eryngium yuccifolium (Rattlesnake Master)	Full	Medium-Wet to Medium-Dry	4ft	July August September	White
Forb	F	ERY52F	Erythronium albidum (White Trout Lily)	"2,700"	10	"L,F"												$179.00	Erythronium albidum (White Trout Lily)	Shade	Medium-Wet to Medium	6in	April May	White
Forb	F	EUP02F	Eupatorium altissimum (Tall Boneset)	"50,000"	300	C(60)	$3.50	$4.50	$6.00	$9.75	$15.00	$225.00							Eupatorium altissimum (Tall Boneset)	Full to Partial	Medium-Wet to Medium-Dry	4ft	August September October	White
Forb	F	EUP20F	Eupatorium hyssopifolium (Hyssop-leaved Thoroughwort)	"92,000"	100	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00								Eupatorium hyssopifolium (Hyssop-leaved Thoroughwort)	Full to Partial	Medium to Dry	3ft	August September October	White
Forb	F	EUP06F	Eupatorium perfoliatum (Boneset)	"160,000"	750	"C(30),D"	$3.50	$8.50	$12.75	$21.50	$35.00	$525.00	$7.00					$169.00	Eupatorium perfoliatum (Boneset)	Full to Partial	Wet to Medium-Wet	4ft	July August September	White
Forb	F	EUP12F	Eupatorium serotinum (Late Boneset)	"170,000"	500	C(60)	$3.50	$6.25	$10.00										Eupatorium serotinum (Late Boneset)	Full to Partial	Medium-Wet to Medium-Dry	5ft	August September October	White
Forb	F	EUP52F	Euphorbia corollata (Flowering Spurge)	"8,000"	75	C(30)	$3.50						$6.00	$21.00				$189.00	Euphorbia corollata (Flowering Spurge)	Full to Partial	Medium to Dry	3ft	June July August	White
Forb	F	EUP53F	Euphorbia cyathophora (Fire-on-the-Mountain)	"2,700"	15	A	$3.50	$15.00	$25.00	$45.00	$80.00								Euphorbia cyathophora (Fire-on-the-Mountain)	Full to Partial	Medium-Wet to Medium-Dry	2ft	July August September October	Green
Forb	F	AST09F	Eurybia furcata (Forked Aster)	"24,000"	130	C(60)							$8.00						Eurybia furcata (Forked Aster)	Partial to Shade	Wet to Medium-Dry	2ft	August September October	White
Forb	F	AST16F	Eurybia macrophylla (Big-leaved Aster)	"45,000"	75	C(60)	$3.50	$12.50	$20.00	$35.00	$60.00			$21.00				$169.00	Eurybia macrophylla (Big-leaved Aster)	Partial to Shade	Medium-Wet to Dry	12in	August September October	White
Forb	F	SOL04F	Euthamia graminifolia (Grass-leaved Goldenrod)	"350,000"	"1,000"	"C(60),D"	$3.50	$12.50										$169.00	Euthamia graminifolia (Grass-leaved Goldenrod)	Full to Partial	Wet to Medium-Dry	4ft	July August September	Yellow
Forb	F	EUT21F	Euthamia gymnospermoides (Great Plains Goldenrod)	"500,000"	500	"C(60),D"	$3.50												Euthamia gymnospermoides (Great Plains Goldenrod)	Full	Medium-Wet to Medium-Dry	3ft	July August September	Yellow
Forb	F	EUP05F	Eutrochium fistulosum (Hollow Joe Pye Weed)	"78,000"	200	C(60)	$3.50	$10.00	$15.00	$25.00	$40.00								Eutrochium fistulosum (Hollow Joe Pye Weed)	Full to Shade	Wet to Medium-Wet	6ft	July August September	Purple
Forb	F	EUP04F	Eutrochium maculatum (Joe Pye Weed)	"80,000"	400	"C(30),D"	$3.50	$6.25	$10.00	$16.25	$25.00	$375.00		$21.00			$169.00	$169.00	Eutrochium maculatum (Joe Pye Weed)	Full to Partial	Wet to Medium-Wet	5ft	July August September	Pink
Forb	F	EUP08F	Eutrochium purpureum (Sweet Joe Pye Weed)	"60,000"	400	"C(30),G"	$3.50	$6.25	$10.00	$16.25	$25.00	$375.00	$10.00	$21.00			$169.00	$169.00	Eutrochium purpureum (Sweet Joe Pye Weed)	Partial to Shade	Medium-Wet to Medium-Dry	7ft	July August September	Pink
Grass/Sedge/Rush	G	FES04G	Festuca paradoxa (Clustered Fescue)	"30,000"	150	C(60)	$3.50				$4.00								Festuca paradoxa (Clustered Fescue)	Full to Partial	Wet to Medium	4ft	May June July	
Grass/Sedge/Rush	G	FES20G	Festuca subverticillata (Nodding Fescue)	"23,000"	200	C(60)	$3.50												Festuca subverticillata (Nodding Fescue)	Partial to Shade	Medium to Dry	2ft	June July	
Forb	F	FIL02F	Filipendula rubra (Queen of the Prairie)	"15,000"	75	C(90)	$3.50						$9.00					$189.00	Filipendula rubra (Queen of the Prairie)	Full	Wet to Medium-Wet	5ft	June July August	Pink
Forb	F	FRA02F	Fragaria virginiana (Wild Strawberry)	"83,000"	60	C(60)	$3.50	$42.50					$7.00		$129.00				Fragaria virginiana (Wild Strawberry)	Full to Shade	Medium-Wet to Dry	6in	April May June	White
Forb	F	FRO02F	Froelichia floridana (Cottonweed)	"7,500"	75	C(60)	$3.50	$11.25	$17.50	$30.00	$50.00								Froelichia floridana (Cottonweed)	Full	Dry	2ft	July August September	White
Forb	F	GAL02F	Galium boreale (Northern Bedstraw)	"56,000"	400	C(90)	$3.50	$12.50						$21.00					Galium boreale (Northern Bedstraw)	Full to Partial	Wet to Medium-Dry	2ft	June July	White
Forb	F	GAL04F	Galium concinnum (Shining Bedstraw)	"45,000"	300	C(60)	$3.50	$10.00	$15.00										Galium concinnum (Shining Bedstraw)	Partial to Shade	Medium-Dry to Dry	2ft	April May June July	White
Forb	F	GAU02F	Gaura biennis (Biennial Gaura)	"2,700"	100	C(60)	$3.50	$4.00	$4.80	$7.80									Gaura biennis (Biennial Gaura)	Full to Partial	Medium-Dry to Dry	6ft	July August September October	Pink
Forb	F	GAU04F	Gaura longiflora (Large-flowered Gaura)	"2,600"	100	C(60)	$3.50	$4.00	$4.80	$7.80	$12.00								Gaura longiflora (Large-flowered Gaura)	Full to Partial	Medium-Wet to Dry	6ft	July August September	Pink
Forb	F	GEN02F	Gentiana andrewsii (Bottle Gentian)	"280,000"	750	"C(60),D"	$3.50						$20.00		$129.00				Gentiana andrewsii (Bottle Gentian)	Full to Partial	Medium-Wet to Medium	2ft	August September October	Blue
Forb	F	GEN06F	Gentiana flavida (Cream Gentian)	"200,000"	750	"C(60),D"	$3.50	$4.50	$6.00	$9.75	$15.00	$225.00			$129.00				Gentiana flavida (Cream Gentian)	Full to Partial	Medium-Wet to Dry	3ft	August September	Cream
Forb	F	GEN09F	Gentiana puberulenta (Downy Gentian)	"435,000"	200	"C(60),D"	$3.50												Gentiana puberulenta (Downy Gentian)	Full to Partial	Medium to Dry	12in	August September October	Blue
Forb	F	GEN10F	Gentianella quinquefolia (Stiff Gentian)	"110,000"	400	"C(60),D"	$3.50												Gentianella quinquefolia (Stiff Gentian)	Full to Partial	Medium-Wet to Medium-Dry	2ft	August September October	Purple
Forb	F	GEN04F	Gentianopsis crinita (Fringed Gentian)	"350,000"	200	"C(60),D"	$3.50	$30.00											Gentianopsis crinita (Fringed Gentian)	Full	Wet to Medium-Wet	12in	August September October	Blue
Forb	F	GER02F	Geranium maculatum (Wild Geranium)	"5,000"	45	"C(60),M"	$3.50						$6.00	$24.00				$189.00	Geranium maculatum (Wild Geranium)	Full to Shade	Medium to Medium-Dry	12in	April May June July	Purple
Forb	F	GEU02F	Geum aleppicum (Yellow Avens)	"20,000"	200	C(60)	$3.50	$7.50	$12.00										Geum aleppicum (Yellow Avens)	Full to Partial	Wet to Medium	3ft	June July August	Yellow
Forb	F	GEU03F	Geum canadense (White Avens)	"15,500"	75	"C(60),?"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00							Geum canadense (White Avens)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	May June July	White
Forb	F	GEU04F	Geum triflorum (Prairie Smoke)	"40,000"	80	"C(60),M"	$3.50							$24.00				$189.00	Geum triflorum (Prairie Smoke)	Full to Partial	Medium-Wet to Dry	8in	April May June	Red
Grass/Sedge/Rush	G	GLY02G	Glyceria canadensis (Rattlesnake Grass)	"30,000"	500	"A,D"	$3.50												Glyceria canadensis (Rattlesnake Grass)	Full to Partial	Wet to Medium-Wet	3ft	June July August	
Grass/Sedge/Rush	G	GLY04G	Glyceria grandis (Reed Manna Grass)	"80,000"	500	"A,D"	$3.50	$4.00	$5.00	$6.50	$10.00								Glyceria grandis (Reed Manna Grass)	Full	Wet to Medium-Wet	5ft	June July August September	
Grass/Sedge/Rush	G	GLY06G	Glyceria striata (Fowl Manna Grass)	"100,000"	500	"A,D"	$3.50	$4.00	$5.00	$6.50	$10.00							$169.00	Glyceria striata (Fowl Manna Grass)	Full to Shade	Wet to Medium	3ft	June July August September	
Forb	F	GLY52F	Glycyrrhiza lepidota (Wild Licorice)	"3,900"	75	"A,H,I"	$3.50	$5.00	$8.00	$13.00	$20.00								Glycyrrhiza lepidota (Wild Licorice)	Full	Medium-Wet to Dry	2ft	June July	Cream
Fern	S	GYM02S	Gymnocarpium dryopteris (Oak Fern)										$15.00						Gymnocarpium dryopteris (Oak Fern)	Partial to Shade	Medium-Wet to Medium	12in		Green
Tree/Shrub/Woody Vine	T	HAM02T	Hamamelis virginiana (Common Witch Hazel)			M							$12.00						Hamamelis virginiana (Common Witch Hazel)	Full to Partial	Medium-Wet to Medium	up to 20ft	October November	Yellow
Forb	F	CAC06F	Hasteola suaveolens (Sweet Indian Plantain)	"17,000"	100	C(60)	$3.50	$7.50	$12.00				$6.00					$169.00	Hasteola suaveolens (Sweet Indian Plantain)	Full to Partial	Wet to Medium-Wet	7ft	July August September	White
Forb	F	HEL02F	Helenium autumnale (Sneezeweed)	"140,000"	500	"A,D"	$3.50		$4.00	$5.00	$6.00	$90.00		$21.00			$169.00	$159.00	Helenium autumnale (Sneezeweed)	Full to Partial	Wet to Medium-Wet	4ft	August September October	Yellow
Forb	F	HEL43F	Helianthus divaricatus (Woodland Sunflower)	"4,800"	25	C(30)	$3.50												Helianthus divaricatus (Woodland Sunflower)	Partial to Shade	Medium to Dry	4ft	July August September	Yellow
Forb	F	HEL41F	Helianthus giganteus (Tall Sunflower)	"12,500"	100	C(30)	$3.50												Helianthus giganteus (Tall Sunflower)	Full to Partial	Medium-Wet to Medium	8ft	July August September	Yellow
Forb	F	HEL44F	Helianthus grosseserratus (Saw-tooth Sunflower)	"13,000"	100	C(30)	$3.50	$6.25	$10.00	$16.25	$25.00								Helianthus grosseserratus (Saw-tooth Sunflower)	Full to Partial	Medium-Wet to Medium-Dry	8ft	August September October	Yellow
Forb	F	HEL50F	Helianthus maximiliani (Maximilian's Sunflower)	"11,000"	300	C(30)	$3.50				$4.00								Helianthus maximiliani (Maximilian's Sunflower)	Full to Partial	Medium-Wet to Medium-Dry	7ft	August September	Yellow
Forb	F	HEL52F	Helianthus mollis (Downy Sunflower)	"9,000"	100	C(30)	$3.50	$7.50	$12.00	$19.50	$30.00							$159.00	Helianthus mollis (Downy Sunflower)	Full to Partial	Medium to Medium-Dry	5ft	August September	Yellow
Forb	F	HEL54F	Helianthus occidentalis (Western Sunflower)	"14,000"	100	C(30)	$3.50	$11.25	$17.50	$30.00	$50.00		$6.00					$169.00	Helianthus occidentalis (Western Sunflower)	Full to Partial	Medium to Dry	3ft	July August September	Yellow
Forb	F	HEL48F	Helianthus pauciflorus (Showy Sunflower)	"4,000"	100	C(30)	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00	$6.00						Helianthus pauciflorus (Showy Sunflower)	Full to Partial	Medium-Dry to Dry	5ft	July August September	Yellow
Forb	F	HEL49F	Helianthus petiolaris (Prairie Sunflower)	"6,600"	200	C(30)	$3.50		$4.00	$5.00	$6.00	$90.00							Helianthus petiolaris (Prairie Sunflower)	Full	Medium-Dry to Dry	3ft	June July August September	Yellow
Forb	F	HEL82F	Heliopsis helianthoides (Early Sunflower)	"6,200"	200	C(30)	$3.50				$4.00	$30.00					$169.00	$159.00	Heliopsis helianthoides (Early Sunflower)	Full to Partial	Medium-Wet to Medium-Dry	5ft	June July August September	Yellow
Forb	F	HEP02F	Hepatica acutiloba (Sharp-lobed Hepatica)	"8,600"	20	"F,L"	$3.50						$12.00						Hepatica acutiloba (Sharp-lobed Hepatica)	Partial to Shade	Medium to Medium-Dry	8in	April May	White
Forb	F	HER02F	Heracleum maximum (Cow Parsnip)	"2,200"	100	"F,M,?"	$3.50				$4.00	$45.00							Heracleum maximum (Cow Parsnip)	Full to Partial	Medium-Wet to Medium	8ft	June July	White
Forb	F	HEU02F	Heuchera richardsonii (Prairie Alumroot)	"350,000"	750	"C(30),D"	$3.50	$15.00	$25.00	$45.00	$80.00						$169.00	$159.00	Heuchera richardsonii (Prairie Alumroot)	Full to Partial	Medium-Wet to Dry	2ft	May June July	Green
Forb	F	HIB02F	Hibiscus laevis (Rose Mallow)	"2,200"	75	C(60)	$3.50		$4.00	$5.00	$6.00	$90.00	$9.00	$21.00			$169.00	$189.00	Hibiscus laevis (Rose Mallow)	Full to Partial	Wet to Medium-Wet	5ft	July August September	Pink
Forb	F	HIB01F	Hibiscus lasiocarpos (Hairy Rose Mallow)	"3,200"	100	C(60)	$3.50												Hibiscus lasiocarpos (Hairy Rose Mallow)	Full to Partial	Wet to Medium-Wet	5ft	July August	Pink
Forb	F	HIB04F	Hibiscus moscheutos (Swamp Rose Mallow)	"3,000"	75	C(60)	$3.50	$4.50	$6.00	$9.75								$189.00	Hibiscus moscheutos (Swamp Rose Mallow)	Full to Partial	Wet to Medium-Wet	5ft	July August September	White
Grass/Sedge/Rush	G	HIE52G	Hierochloe odorata (Sweet Grass)	"35,000"	50	C(30)	$3.50							$21.00				$169.00	Hierochloe odorata (Sweet Grass)	Full to Partial	Wet to Medium	2ft	May June July	
Grass/Sedge/Rush	G	HOR02G	Hordeum jubatum (Squirrel-tail Grass)	"16,000"	200	?	$3.50	$4.50	$6.00	$9.75	$15.00								Hordeum jubatum (Squirrel-tail Grass)	Full	Medium-Dry to Dry	12in	June July August September	
Forb	F	HYD54F	Hydrophyllum appendiculatum (Great Waterleaf)	750	20	"E,L"	$3.50												Hydrophyllum appendiculatum (Great Waterleaf)	Partial to Shade	Medium	2ft	May June July	Purple
Forb	F	HYD52F	Hydrophyllum virginianum (Virginia Waterleaf)	"2,500"	50	C(60)	$3.50	$7.50	$12.00				$6.00		$179.00				Hydrophyllum virginianum (Virginia Waterleaf)	Partial to Shade	Medium-Wet to Medium	2ft	May June	Purple
Tree/Shrub/Woody Vine	T	HYP42T	Hypericum kalmianum (Kalm's St. John's Wort)	"350,000"	"1,000"	"A,D"	$3.50	$15.00	$25.00	$45.00	$80.00								Hypericum kalmianum (Kalm's St. John's Wort)	Full to Partial	Medium-Wet to Medium	2ft	July August	Yellow
Forb	F	HYP01F	Hypericum majus (Great Canada St. John's Wort)	"2,000,000"	"1,000"	C(60)?	$3.50	$12.50											Hypericum majus (Greater Canada St. John's Wort)	Full to Partial	Medium-Wet	2ft	July August September	Yellow
Tree/Shrub/Woody Vine	T	HYP45T	Hypericum prolificum (Shrubby St. John's Wort)	"180,000"	500	"A,D"	$3.50	$15.00	$25.00				$20.00	$24.00			$169.00		Hypericum prolificum (Shrubby St. John's Wort)	Full to Partial	Medium-Wet to Medium-Dry	4ft	July August September	Yellow
Forb	F	HYP02F	Hypericum punctatum (Dotted St. John's Wort)	"375,000"	"1,000"	"C(60),D"	$3.50	$10.00										$169.00	Hypericum punctatum (Dotted St. John's Wort)	Full to Partial	Medium to Medium-Dry	2ft	July August September	Yellow
Forb	F	HYP04F	Hypericum pyramidatum (Great St. John's Wort)	"225,000"	"1,000"	"C(60),D"	$3.50	$4.00	$4.80	$7.80	$12.00	$180.00	$7.00						Hypericum pyramidatum (Great St. John's Wort)	Full to Partial	Medium-Wet to Medium	6ft	July August	Yellow
Forb	F	IMP02F	Impatiens capensis (Spotted Touch-me-not)	"4,000"	30	"F,L,M,?"	$3.50	$15.00											Impatiens capensis (Spotted Touch-me-not)	Full to Partial	Wet to Medium	4ft	July August September	Orange
Forb	F	IPO04F	Ipomoea leptophylla (Bush Morning Glory)	200	10	"A,O"	$3.50	$10.00	$15.00										Ipomoea leptophylla (Bush Morning Glory)	Full	Medium-Dry to Dry	3ft	June July August	Pink
Forb	F	IRI02F	Iris cristata (Dwarf Crested Iris)			"L,M"							$8.00						Iris cristata (Dwarf Crested Iris)	Full to Shade	Medium-Wet to Medium-Dry	6in	Mat	
Forb	F	IRI04F	Iris versicolor (Northern Blue Flag)	950	30	"C(120),M"	$3.50	$6.25	$10.00	$16.25	$25.00								Iris versicolor (Northern Blue Flag)	Full to Partial	Wet to Medium	3ft	May June July	Blue
Forb	F	IRI06F	Iris virginica var. shrevei (Southern Blue Flag)	800	30	"C(120),M"	$3.50	$6.25	$10.00	$16.25	$25.00		$7.00	$21.00			$169.00	$159.00	Iris virginica var. shrevei (Southern Blue Flag)	Full to Partial	Wet to Medium	3ft	May June July	Purple
Forb	F	ISO02F	Isopyrum biternatum (False Rue Anemone)	"11,000"	30	C(60)?	$3.50						$9.00					$279.00	Isopyrum biternatum (False Rue Anemone)	Shade	Medium-Wet to Medium	6in	April May June	White
Forb	F	JEF06F	Jeffersonia diphylla (Twinleaf)	"1,000"	10	"F,L"	$3.50						$15.00						Jeffersonia diphylla (Twinleaf)	Shade	Medium	12in	April May	White
Grass/Sedge/Rush	G	JUN00G	Juncus balticus (Baltic Rush)	"342,000"	"2,000"	A	$3.50	$7.50	$12.00	$19.50	$30.00								Juncus balticus (Baltic Rush)	Full	Wet to Medium	3ft	May June July August	
Grass/Sedge/Rush	G	JUN01G	Juncus canadensis (Canada Rush)	"750,000"	"1,000"	"C(60),D"	$3.50												Juncus canadensis (Canada Rush)	Full to Partial	Medium-Wet to Medium-Dry	2ft	July August September	
Grass/Sedge/Rush	G	JUN03G	Juncus dudleyi (Dudley's Rush)	"2,500,000"	"1,000"	"C(60),D"	$3.50	$10.00										$169.00	Juncus dudleyi (Dudley's Rush)	Full	Medium-Wet to Medium-Dry	2ft	June July August September	
Grass/Sedge/Rush	G	JUN04G	Juncus effusus (Common Rush)	"2,000,000"	"1,000"	"C(60),D"	$3.50	$6.25	$10.00	$16.25	$25.00						$169.00	$159.00	Juncus effusus (Common Rush)	Full	Wet to Medium	2ft	July August September	
Grass/Sedge/Rush	G	JUN07G	Juncus greenei (Greene's Rush)	"1,700,000"	"1,000"	C(60)	$3.50												Juncus greenei (Greene's Rush)	Partial	Medium to Dry	2ft	July August	
Grass/Sedge/Rush	G	JUN06G	Juncus interior (Inland Rush)	"2,800,000"	"1,000"	"C(60),D"	$3.50											$169.00	Juncus interior (Inland Rush)	Full	Wet to Medium-Wet	2ft	May June July	
Grass/Sedge/Rush	G	JUN10G	Juncus tenuis (Path Rush)	"1,000,000"	"1,000"	"C(60),D"	$3.50	$10.00	$15.00	$25.00				$18.00				$169.00	Juncus tenuis (Path Rush)	Full to Partial	Medium-Wet to Dry	12in	June July August September	
Grass/Sedge/Rush	G	JUN12G	Juncus torreyi (Torrey's Rush)	"1,600,000"	"1,000"	"C(60),D"	$3.50	$10.00	$15.00	$25.00	$40.00	$600.00						$169.00	Juncus torreyi (Torrey's Rush)	Full	Medium-Wet to Medium	12in	July August September October	
Grass/Sedge/Rush	G	KOE02G	Koeleria macrantha (June Grass)	"200,000"	"1,000"	"A,D,G"	$3.50							$18.00			$169.00	$159.00	Koeleria macrantha (June Grass)	Full	Medium-Dry to Dry	2ft	June July	
Grass/Sedge/Rush	G	LEE01G	Leersia lenticularis (Catchfly Grass)	"9,300"	50	A	$3.50	$7.50	$12.00	$19.50	$30.00								Leersia lenticularis (Catchfly Grass)	Partial	Medium-Wet to Medium	3ft	July August September October	
Grass/Sedge/Rush	G	LEE02G	Leersia oryzoides (Rice Cut Grass)	"30,000"	500	C(30)	$3.50	$4.00	$5.00	$6.50	$10.00	$150.00						$189.00	Leersia oryzoides (Rice Cut Grass)	Full to Partial	Wet to Medium-Wet	4ft	June July August September October	
Forb	F	LES02F	Lespedeza capitata (Round-headed Bush Clover)	"9,500"	200	"C(10),I,J"	$3.50	$4.00	$5.00	$6.50			$7.00					$159.00	Lespedeza capitata (Round-headed Bush Clover)	Full to Partial	Medium to Dry	4ft	August September	Green
